f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Epinephelidae,Aethaloperca rogaa,Aethaloperca rogaa,Aethaloperca,(Fabricius 1775),Primary Piscivores,0.0111,3.114,,,,76,Epinephelus cyanopodus,Kulbicki et al 2005  listed in Green & Bellwood 09,Y,Y,Y,,,,,
Epinephelidae,Anyperodon leucogrammicus,Anyper. leucogramm.,Anyperodon,(Valenciennes 1828),Primary Piscivores,0.0014,3.548,10,0.98,30.5,51,Anyperodon leucogrammicus,Kulbicki et al 2005  listed in Green & Bellwood 09,Y,Y,Y,,,,,
Epinephelidae,Cephalopholis boenack,C. boenack,Cephalopholis,(Bloch 1790),Primary Piscivores,0.0146,3.019,149,0.988,4.8,30.5,Cephalopholis boenack,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Cephalopholis leopardus,C. leopardus,Cephalopholis,(Lacepede 1801),Primary Piscivores,0.0274,3.000,1.000,,,13.100,Cephalopholis leopardus,Fishbase,N,Y,Y,,,,,
Epinephelidae,Cephalopholis miniata,C. miniata,Cephalopholis,(Forsskal 1775),Primary Piscivores,0.0107,3.114,94,0.973,23,46,Cephalopholis miniata,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Cephalopholis oligosticta,C. oligosticta*,Cephalopholis,Randall & Ben-Tuvia 1983,Primary Piscivores,0.0282,2.818,17,0.953,15,25.5,Cephalopholis urodeta,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Cephalopholis polleni,C. polleni,Cephalopholis,(Bleeker 1868),Primary Piscivores,,,,,,,,,N,Y,Y,,,,,
Epinephelidae,Cephalopholis nigripinnis,C.urodeta sb nigripinnis,Cephalopholis,(Valenciennes 1828),Primary Piscivores,0.0282,2.818,,,,28,Cephalopholis urodeta,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Cephalopholis argus,Cephalopholis argus,Cephalopholis,Schneider 1801,Primary Piscivores,0.0093,3.181,15,0.988,21.5,44,Cephalopholis argus,Kulbicki et al 2005  listed in Green & Bellwood 09,Y,Y,Y,,,,,
Epinephelidae,Cephalopholis sexmaculata,Cephalopholis sexmaculata,Cephalopholis,(Ruppell 1830),Primary Piscivores,0.0107,3.114,,,,46,Cephalopholis miniata,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Cephalopholis spiloparaea,Cephalopholis spiloparaea,Cephalopholis,(Valenciennes 1828),Primary Piscivores,0.0282,2.818,,,,,Cephalopholis urodeta,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Cephalopholis hemistiktos,C. hemistiktos*,Cephalopholis,(Rüppell 1830),Primary Piscivores,0.0282,2.818,17,0.953,15,25.5,Cephalopholis urodeta,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Dermatolepis striolata,Dermatolepis striolata,Dermatolepis,(Playfair 1867),Primary Piscivores,0.017,3.000,,,,90.2,Dermatolepis dermatolepis,Fishbase,Y,Y,Y,,,,,
Epinephelidae,Epinephelus areolatus,E. areolatus,Epinephelus,(Forsskål 1775),Primary Piscivores,0.0107,3.086,,,,,Plectropomus spp.,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Epinephelus caeruleopunctatus,E. caeruleopunctatus,Epinephelus,(Bloch 1790),Primary Piscivores,0.018,2.938,24,0.997,3.5,61,Epinephelus caeruleopunctatus,Kulbicki et al 2005  listed in Green & Bellwood 09,Y,Y,Y,,,,,
Epinephelidae,Cephalopholis sonnerati,Cephalopholis sonnerati,Cephalopholis,"(Valenciennes, 1828)",Primary piscivores,0.0066,3.277,96,0.968,24,50,Cephalopholis sonnerati,Kulbicki et al 2005  listed in Green & Bellwood 95,Y,Y,Y,,,,,
Epinephelidae,Epinephelus fasciatus,E. fasciatus,Epinephelus,(Forsskal 1775),Primary Piscivores,0.0138,3.041,165,0.985,8.9,36.5,Epinephelus fasciatus,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Epinephelus flavocaeruleus,E. flavocaeruleus,Epinephelus,(Lacepede 1802),Primary Piscivores,0.0156,3.000,,,,61.3,Epinephelus flavocaeruleus,Fishbase,Y,Y,Y,,,,,
Epinephelidae,Epinephelus fuscoguttatus,E. fuscoguttatus ,Epinephelus,(Forsskal 1775),Primary Piscivores,0.0134,3.057,22,0.997,18.5,100,Epinephelus fuscoguttatus,Kulbicki et al 2005  listed in Green & Bellwood 09,Y,Y,Y,,,,,
Epinephelidae,Epinephelus macrospilos,E. macrospilos,Epinephelus,(Bleeker 1855),Primary Piscivores,0.0132,3.031,56,0.994,11,41,Epinephelus macrospilos,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
