"month","year","region","village","mean.cpue"
"Jan",2025,"Pemba","Kangani",1874.68209876543
"Jan",2025,"Pemba","Kisiwani",5.52066666666667
"Jan",2025,"Pemba","Kiuyu",631.384223809224
"Jan",2025,"Pemba","Kwale",1106.13769106408
"Jan",2025,"Pemba","Makoongwe",281.389772727273
"Jan",2025,"Pemba","Michenzani",260.15625
"Jan",2025,"Pemba","Michungwani",577.666666666667
"Jan",2025,"Pemba","Mtambwe Kusini",812.288120567376
"Jan",2025,"Pemba","Shidi",223.833333333333
"Jan",2025,"Pemba","Shumba",503.53610898905
"Jan",2025,"Pemba","Tumbe",932.912866559053
"Jan",2025,"Pemba","Ziwani",251.404081566582
"Jan",2025,"Tanga","Chongoleani",973.670588235294
"Jan",2025,"Tanga","Kizingani",1332.47459349593
"Jan",2025,"Tanga","Mabokweni",286.045597484277
"Jan",2025,"Tanga","Monga Vyeru",1192.13724649302
"Jan",2025,"Tanga","Mpirani",15
"Jan",2025,"Tanga","Mtundani",2440.05952380952
"Jan",2025,"Tanga","Mwandusi",342.016233766234
"Jan",2025,"Tanga","Ndaoya",2703.76041666667
"Jan",2025,"Tanga","Tawalani",1275.22916666667
"Feb",2025,"Pemba","Chokocho",461.178957528958
"Feb",2025,"Pemba","Kangani",1510.93798449612
"Feb",2025,"Pemba","Kisiwa Panza",885.860215053763
"Feb",2025,"Pemba","Kiuyu",540.036619200905
"Feb",2025,"Pemba","Kukuu",489.426883384473
"Feb",2025,"Pemba","Kwale",1315.59010897891
"Feb",2025,"Pemba","Makoongwe",311.043240740741
"Feb",2025,"Pemba","Michenzani",224.051282051282
"Feb",2025,"Pemba","Michungwani",412.265088383838
"Feb",2025,"Pemba","Mtambwe Kusini",713.230555555556
"Feb",2025,"Pemba","Shidi",237.603375527426
"Feb",2025,"Pemba","Shumba",679.707671957672
"Feb",2025,"Pemba","Stahabu",376.188888888889
"Feb",2025,"Pemba","Tumbe",1228.58826530612
"Feb",2025,"Pemba","Ziwani",452.888466394716
"Feb",2025,"Tanga","Chongoleani",427
"Feb",2025,"Tanga","Mpirani",1022.31154684096
"Feb",2025,"Tanga","Putini",1766.62458471761
"Mar",2025,"Pemba","Chokocho",983.703603603604
"Mar",2025,"Pemba","Kangani",1434.13333333333
