name,label
Alamani,Alamani
Azina,Azina
Bahari kubwa,Bahari kubwa
Bahari mbili,Bahari mbili
Bahari ndogo,Bahari ndogo
Baharini,Baharini
Baoni,Baoni
Baswara,Baswara
Bi pembe,Bi pembe
Birikani,Birikani
Boma mwambani,Boma mwambani
Boriti,Boriti
Boya chupa,Boya chupa
Boyani,Boyani
Bwachi parua,Bwachi parua
Bwachini,Bwachini
Chaani,Chaani
Chachani,Chachani
Chamba,Chamba
Chamba cha gotero,Chamba cha gotero
Chamba cha kangu,Chamba cha kangu
Chamba cha kijiweni,Chamba cha kijiweni
Chamba cha melini,Chamba cha melini
Chamba cha mkumbi,Chamba cha mkumbi
Chamba cha mnazini,Chamba cha mnazini
Chamba cha mti mmoja,Chamba cha mti mmoja
Chamba cha mvumoni,Chamba cha mvumoni
Chamba kwale,Chamba kwale
Chamba monga,Chamba monga
Chamba vyeru,Chamba vyeru
Chambani,Chambani
Changa fusini,Changa fusini
Chatahani,Chatahani
Chekwe,Chekwe
Chongoma,Chongoma
Chundo,Chundo
Diko la Mvuuni,Diko la Mvuuni
Dongo kundu,Dongo kundu
Dongoni,Dongoni
Dutani,Dutani
Farumuni,Farumuni
Fungu,Fungu
Fungu boma,Fungu boma
Fungu dagaa,Fungu dagaa
Fungu fupi,Fungu fupi
Fungu kubwa,Fungu kubwa
Fungu mwarenu,Fungu mwarenu
Fungu ndefu,Fungu ndefu
Fungu Ndogo,Fungu Ndogo
Fungu tabia,Fungu tabia
Fungu ya lengwe,Fungu ya lengwe
Funguni,Funguni
Funguni la changani,Funguni la changani
Funguni mkumbuu,Funguni mkumbuu
Funguni mvumoni,Funguni mvumoni
Funzi,Funzi
Fuukombeni,Fuukombeni
Fyafu,Fyafu
Geandiba,Geandiba
Gomeni,Gomeni
Gongo amiri,Gongo amiri
Gongo kubwa,Gongo kubwa
Guzoni,Guzoni
Hahanda,Hahanda
Hazina,Hazina
Imu,Imu
Jaalani,Jaalani
Jagwa,Jagwa
Jamba la kati,Jamba la kati
Jamba nungwu,Jamba nungwu
Jambani,Jambani
Jambe,Jambe
Jambe rasini,Jambe rasini
Jameo,Jameo
Jamvini,Jamvini
Jangwa kuu,Jangwa kuu
Jego,Jego
Jembe,Jembe
Jitoni,Jitoni
Jiwe kungu,Jiwe kungu
Jiwe la wanda,Jiwe la wanda
Jiwe matandaza,Jiwe matandaza
Jiwe membe,Jiwe membe
Jiwe mtu,Jiwe mtu
Jiweni,Jiweni
Jomani,Jomani
Jombe,Jombe
Jutoni,Jutoni
Kagera,Kagera
Kangale,Kangale
