family,common_name,scientific_names,species,
Acanthuridae,Epaulette surgeonfish   ,Acanthurus nigricauda,Kangaja 1,
Acanthuridae,Humpback unicornfish   ,Naso brachycentron,Puju 1,
Acanthuridae,Doubleband surgeonfish    ,Acanthurus tennentii,Kangaja 2,
Acanthuridae,Spotted unicornfish     ,Naso brevirostris,Puju 2,important
Acanthuridae,Convict surgeonfish       ,Acanthurus triostegus,Kurumbwi,
Acanthuridae,Striated surgeonfish  ,Ctenochaetus striatus,Mbene/msendengoma,
Acanthuridae,Elegant unicornfish      ,Naso elegans,Laga/Puju,
Acanthuridae,Elongate surgeonfish     ,Acanthurus mata,Kangaja 3,
Ariidae,White barbell catfish     ,Galeichthys feliceps,Hongwe,
Belonidae,Keel jawed needle fish,Tylosurus acus melanotus,Mzira meno/sumbururu,
Belonidae,Flat needlefish,Ablennes hians,Mzira meno/sumbururu,
Carangidae,Shrimp scad,Alepes djedaba,Kolekole1,
Carangidae,Blue trevally ,Carangoides ferdau,Kolekole2,
Carangidae,Yellowtail scad,Atule mate,Kolekole3,
Carangidae,Island trevally,Carangoides orthogrammus,Kolekole4,
Carangidae,Longnose trevally,Carangoides chrysophrys,Kolekole5,
Carangidae,Blacktip trevally,Caranx heberi,Kolekole6,
Carangidae,Giant trevally,Caranx ignobilis,Kolekole7,
Carangidae,Bigeye scad,Selar crumenophthalmus,Kibua1,
Carangidae,Longfin yellowtail ,Seriola rivoliana,Kihalua,
Chaetodontidae,Threadfin butter fly fish   ,Chaetodon Auriga,Kibange/kitatange,
Chaetodontidae,Reef bannerfish   ,Heniochus acuminatus,Kibange uzi,
Chanidae,Milkfish,Chanos chanos,Mwatiko,
Chirocentridae,Whitefin wolf herring,Chirocentrus nudus,Mkonge,
Chirocentridae,Dorab wolf herring,Chirocentrus dorab,Mkonge2,
Ephippidae,Longfin batfish,Platax teira,Tuguu,
Fistulariidae,Red cornetfish,Fistularia petimba,Panda,
Gerreidae,Whipfin silver biddy,Gerres filamentosus,Chaa,
Gerreidae,Common silver biddy   ,Gerres Oyena,Chaa2,
Haemulidae,Painted sweetlips - Juvenille,Diagramma pictum,Mwewe/Komba,
Haemulidae,Painted sweetlips,Diagramma pictum,Mwewe/Komba2,
Haemulidae,Blackspotted rubberlips,Plectorhinchus gaterinus,Mlea,
Haemulidae,Minstrel  sweetlips ,Plectorhinchus schotaf,Changu13,
Haemulidae,Indian  ocean oriental sweetlips,Plectorhinchus vittatus,Mlea 2,
Haemulidae,Cock grunter,Pomadasys multimaculatus,Paramamba,
Haemulidae,Saddle grunt,Pomadasys maculatus,Kiswe,
Holocentridae,Soldierfish,Myripristis hexagona,Kifuu,
Holocentridae,Silverspot squirrelfish,Sargocentron caudimaculatum,Kifuu2,
Holocentridae,Sabre squirrelfish,Sargocentron spiniferum,Kifuu3,
Labridae ,Cigar wrasse ,Cheilio inermis,Chelema/Mboo ya mvuvi,
Labridae ,Cheeklined wrasse ,Oxycheilinus diagramma,Dambada,
Labridae ,Queen coris ,Coris formosa,Potepote,
Labridae ,Bubblefin wrasse  ,Halichoeres nigrescens,Ndodozi,
Labridae ,Tarry hogfish ,Bodianus bilunulatus,Ndodozi2,
Labridae ,Tripletail wrasse,Chelinus trilobatus,Dambada8,
Labridae ,Floral wrasse ,Cheilinus chlorourus,Dambada2,
Labridae ,Pastel ringwrasse ,Holygymnosus doliatus,Potepote,
Labridae ,Robust tuskfish    ,Choerodon robustus,Pono,
Labridae ,Lined hogfish   ,Bodianus leucosticticus,Ndodozi3,
Labridae ,Rockmover wrasse  ,Novaculichthys taeniourus,Chimbashi,
Labridae ,Golden-spot hogfish,Bodianus perdition,Ndodozi4,
Labridae ,Barred thicklip    ,Hemigymnus fasciatus,Pono15,
Labridae ,Sling–jaw wrasse   ,Epibulus insidiator,Dambada4,
Labridae ,Zigzag wrasse,Halichoeres scapularis,Ndodozi mweupe,
Leiognathidae,Berber ponyfish  ,Leiognathus berbis,Kibua,
Leiognathidae,Striped ponyfish ,Aurigequula fasciata,Kibua2,
Leiognathidae,Goldenstripe ponyfish  ,Karalla daura,Kibua3,
Lethrinidae,Bluelined largeeye ream  ,Gymnocranius grandoculis,Changu14,
Lethrinidae,Yellowtail emperor,Lethrinus crocineus,Changu2,
Lethrinidae,Snubnose emperor ,Lethrinus borbonicus,Changu3,
Lethrinidae,Sky emperor ,Lethrinus mahsena,Changu4,
Lethrinidae,Thumbprint emperor   ,Lethrinus harak,Changu5,
Lethrinidae,Smalltooth  emperor   ,Lethrinus microdon,Changu Ndomo,
Lethrinidae,Orange striped emperor  ,Lethrinus obsoletus,Changu6,
Lethrinidae,Humpnose bigeye bream ,Monotaxis grandoculis,Bundusi,
Lethrinidae,Pink ear emperor,Lethrinus lentjan,Changu7,important
Lethrinidae,Pink ear emperor,Lethrinus lentjan,Tukuana,important
Lethrinidae,Pink ear emperor,Lethrinus lentjan,Tukuwana,important
Lethrinidae,Spangeld emperor  ,Lethrinus nebulosus,Changu8,
Lethrinidae,Longface emperor  ,Lethrinus olivaceus,Changu ndomo2,
Lethrinidae,Yellowlip emperor   ,Lethrinus xanthochilus,Changu9,
Lethrinidae,Spotcheek emperor,Lethrinus rubrioperculatus,Changu10,
Lethrinidae,Slender emperor ,Lethrinus variegatus,Changu11,
Lutjanidae,Small toothed jobfish ,Aphareus furca,Simanyo,
Lutjanidae,Two–spot red snapper,Lutjanus bohar,Kungu,
Lutjanidae,Green jobfish ,Aprion virescens,Changu kifimbo/ Mrongo,
Lutjanidae,Blackspot snapper  ,Lutjanus ehrenbergii,tembo/janja,
Lutjanidae,longtail red snapper  ,Etelis coruscans,Mdunji,
Lutjanidae,Dory snapper  ,Lutjanus fulviflamma,Tembo,important
