family,common_name,scientific_names,trophic_groups,swahili_names
Acanthuridae,Epaulette surgeonfish   ,Acanthurus nigricauda,Grazer-detritivores,Kangaja 1
Acanthuridae,Humpback unicornfish   ,Naso brachycentron,Browsers,Puju 1
Acanthuridae,Doubleband surgeonfish    ,Acanthurus tennentii,Grazer-detritivores,Kangaja 2
Acanthuridae,Spotted unicornfish     ,Naso brevirostris,Browsers,Puju 2
Acanthuridae,Convict surgeonfish       ,Acanthurus triostegus,Grazer-detritivores,Kurumbwi
Acanthuridae,Striated surgeonfish  ,Ctenochaetus striatus,Detritivores,Mbene/msendengoma
Acanthuridae,Elegant unicornfish      ,Naso elegans,Browsers,Laga/Puju
Acanthuridae,Elongate surgeonfish     ,Acanthurus mata,Planktivores,Kangaja 3
Ariidae,White barbell catfish     ,Galeichthys feliceps,Piscivores,Hongwe
Belonidae,Keel jawed needle fish,Tylosurus acus melanotus,Piscivores,Mzira meno/sumbururu
Belonidae,Flat needlefish,Ablennes hians,Piscivores,Mzira meno/sumbururu
Carangidae,Shrimp scad,Alepes djedaba,Piscivores,Kolekole1
Carangidae,Blue trevally ,Carangoides ferdau,Piscivores,Kolekole2
Carangidae,Yellowtail scad,Atule mate,Invertivores,Kolekole3
Carangidae,Island trevally,Carangoides orthogrammus,Piscivores,Kolekole4
Carangidae,Longnose trevally,Carangoides chrysophrys,Piscivores,Kolekole5
Carangidae,Blacktip trevally,Caranx heberi,Primary Piscivores,Kolekole6
Carangidae,Giant trevally,Caranx ignobilis,Piscivores,Kolekole7
Carangidae,Bigeye scad,Selar crumenophthalmus,Piscivores,Kibua1
Carangidae,Longfin yellowtail ,Seriola rivoliana,Piscivores,Kihalua
Chaetodontidae,Threadfin butter fly fish   ,Chaetodon Auriga,Invertivores,Kibange/kitatange
Chaetodontidae,Reef bannerfish   ,Heniochus acuminatus,Planktivores,Kibange uzi
Chanidae,Milkfish,Chanos chanos,Planktivores,Mwatiko
Chirocentridae,Whitefin wolf herring,Chirocentrus nudus,Piscivores,Mkonge
Chirocentridae,Dorab wolf herring,Chirocentrus dorab,Piscivores,Mkonge2
Ephippidae,Longfin batfish,Platax teira,Browsers,Tuguu
Fistulariidae,Red cornetfish,Fistularia petimba,Piscivores,Panda
Gerreidae,Whipfin silver biddy,Gerres filamentosus,Invertivores,Chaa
Gerreidae,Common silver biddy   ,Gerres Oyena,Omnivores,Chaa2
Haemulidae,Painted sweetlips   Juvenille,Diagramma pictum,Invertivores,Mwewe/Komba
Haemulidae,Painted sweetlips,Diagramma pictum,Invertivores,Mwewe/Komba
Haemulidae,Blackspotted rubberlips,Plectorhinchus gaterinus,Omnivores,Mlea
Haemulidae,Minstrel  sweetlips ,Plectorhinchus schotaf,Omnivores,Changu13
Haemulidae,Indian  ocean oriental sweetlips,Plectorhinchus vittatus,Omnivores,Mlea 2
Haemulidae,Cock grunter,Pomadasys multimaculatus,Invertivores,Paramamba
Haemulidae,Saddle grunt,Pomadasys maculatus,Invertivores,Kiswe
Holocentridae,Soldierfish,Myripristis hexagona,Planktivores,Kifuu
Holocentridae,Silverspot squirrelfish,Sargocentron caudimaculatum,Invertivores,Kifuu2
Holocentridae,Sabre squirrelfish,Sargocentron spiniferum,Invertivores,Kifuu3
Labridae,Cigar wrasse ,Cheilio inermis,0,Chelema/Mboo ya mvuvi
Labridae,Cheeklined wrasse ,Oxycheilinus diagramma,Invertivores,Dambada
Labridae,Queen coris ,Coris formosa,0,Potepote
Labridae,Bubblefin wrasse  ,Halichoeres nigrescens,Piscivores,Ndodozi
Labridae,Tarry hogfish ,Bodianus bilunulatus,0,Ndodozi2
Labridae,Tripletail wrasse,Chelinus trilobatus,Invertivores,Dambada8
Labridae,Floral wrasse ,Cheilinus chlorourus,0,Dambada2
Labridae,Pastel ringwrasse ,Holygymnosus doliatus,Invertivores,Potepote
Labridae,Robust tuskfish    ,Choerodon robustus,Invertivores,Pono
Labridae,Lined hogfish   ,Bodianus leucosticticus,Invertivores,Ndodozi3
Labridae,Rockmover wrasse  ,Novaculichthys taeniourus,,Chimbashi
Labridae,Golden spot hogfish,Bodianus perdition,Invertivores,Ndodozi4
Labridae,Barred thicklip    ,Hemigymnus fasciatus,,Pono15
Labridae,Slingjaw wrasse   ,Epibulus insidiator,,Dambada4
Labridae,Zigzag wrasse,Halichoeres scapularis,,Ndodozi mweupe
Leiognathidae,Berber ponyfish  ,Leiognathus berbis,Invertivores,Kibua
Leiognathidae,Striped ponyfish ,Aurigequula fasciata,Piscivores,Kibua2
Leiognathidae,Goldenstripe ponyfish  ,Karalla daura,Invertivores,Kibua3
Lethrinidae,Bluelined largeeye ream  ,Gymnocranius grandoculis,Omnivores,Changu14
Lethrinidae,Yellowtail emperor,Lethrinus crocineus,Omnivores,Changu2
Lethrinidae,Snubnose emperor ,Lethrinus borbonicus,Invertivores,Changu3
Lethrinidae,Sky emperor ,Lethrinus mahsena,Omnivores,Changu4
Lethrinidae,Thumbprint emperor   ,Lethrinus harak,Omnivores,Changu5
Lethrinidae,Smalltooth  emperor   ,Lethrinus microdon,Omnivores,Changu Ndomo
Lethrinidae,Orange striped emperor  ,Lethrinus obsoletus,Omnivores,Changu6
Lethrinidae,Humpnose bigeye bream ,Monotaxis grandoculis,Omnivores,Bundusi
Lethrinidae,Pink ear emperor,Lethrinus lentjan,Omnivores,Changu7
Lethrinidae,Spangeld emperor  ,Lethrinus nebulosus,Omnivores,Changu8
Lethrinidae,Longface emperor  ,Lethrinus olivaceus,Omnivores,Changu ndomo2
Lethrinidae,Yellowlip emperor   ,Lethrinus xanthochilus,Omnivores,Changu9
Lethrinidae,Spotcheek emperor,Lethrinus rubrioperculatus,Invertivores,Changu10
Lethrinidae,Slender emperor ,Lethrinus variegatus,Invertivores,Changu11
Lutjanidae,Small toothed jobfish ,Aphareus furca,Omnivores,Simanyo
Lutjanidae,Two spot red snapper,Lutjanus bohar,Primary Piscivores,Kungu
Lutjanidae,Green jobfish ,Aprion virescens,Primary Piscivores,Changu kifimbo/ Mrongo
Lutjanidae,Blackspot snapper  ,Lutjanus ehrenbergii,Invertivores,tembo/janja
Lutjanidae,longtail red snapper  ,Etelis coruscans,Invertivores,Mdunji
Lutjanidae,Dory snapper  ,Lutjanus fulviflamma,Omnivores,Tembo
Lutjanidae,Mangrove red snapper  ,Lutjanus argentimaculatus,Omnivores,Tembo kandaa
Lutjanidae,Humpback red snapper ,Lutjanus gibbus,Omnivores,numba
Monodactylidae,Silver moony   ,Monodactylus argenteus,Omnivores,Pepero
Mugilidae,Fringelip mullet,Crenimugil crenilabis,#N/A,#N/A
Mullidae,Red Sea goatfish ,Parupeneus forsskali,Invertivores,Kundaji
Mullidae,Gold saddle goatfish    ,Parupeneus cyclostommus,Invertivores,Kundaji2
Mullidae,Long barbell goatfish   ,Parupeneus macronema,Invertivores,Kundaji3
Mullidae,Dash and dot goatfish  ,Parupeneus barberinus,,Kundaji4
Mullidae,Rosy goatfish   ,Parupeneus rubescens,Invertivores,Kundaji5
Mullidae,Indian goatfish   ,Parupeneus indicus,Invertivores,Kundaji6
Mullidae,Yellowstrip goatfish,Mulloidichthys vanicolensis,,Kundaji7
Mullidae,Freckled goatfish ,Upeneus tragula,Invertivores,Kundaji8
Mullidae,Sidespot goatfish ,Parupeneus pleurostigma,Invertivores,Kundaji9
Mullidae,Whitesaddle goatfish ,Parupeneus ciliatus,Invertivores,Kundaji10
Nemipteridae,Delagoa threadfin bream,Nemipterus bipunctatus,Invertivores,Koana
Nemipteridae,Japanese threadfin bream ,Nemipterus japonicus,Invertivores,Koana2
Nemipteridae,Thumbprint monocle bream  ,Scolopsis bimaculata,#N/A,Paragunda
Nemipteridae,Arabian bream,Scolopsis ghanam,,Kangamacho
Nemipteridae,Whitecheek bream ,Scolopsis vosmeri,#N/A,Kimweche
Pomacanthidae,Semicircle angelfish ,Pomacanthus semicirculatus,Invertivores,Bangi Kukuu
Priacanthidae,Moontail bullseye  ,Priacanthus hamrur,#N/A,Gambahare/Banihare
Priacanthidae,Hawaiian bigeye  ,Priacanthus meeki,#N/A,Gambahare/Banihare2
Psettodidae,Indian halibut      ,Psettodes erumei,#N/A,Gayogayo
Scaridae,Candelamoa parrotfish ,Hipposcarus harid,Scrapers,Pono/Chumumbu
Scaridae,Blue barred parrotfish,Scarus ghobban,Scrapers,Pono3
Scaridae,Candelamoa parrotfish ,Scarus rubroviolaceus,Scrapers,Pono mwekundu
Scaridae,Carolines parrotfish ,Calotomus carolinus,Browsers,Pono4
Scaridae,Eclipse parrotfish ,Scarus russelii,#N/A,Pono5
Scaridae,Bridled  parrotfish ,Scarus frenatus,Scrapers,Pono6
Scaridae,Pink margined parrotfish ,Chlorurus capistratoides,Small excavators,Pono7
Scaridae,Marbled parrotfish,Leptoscarus vaigiensis,Browsers,Pono manjano
Scaridae,Spinytooth parrotfish ,Calotomus spinidens,Browsers,Bodo
Scaridae,Chameleon parrotfish ,Scarus chameleon,#N/A,Pono9
Scaridae,Common parrotfish ,Scarus psittacus,Scrapers,pono10
Scaridae,Tricolour parrotfish ,Scarus tricolor,Scrapers,pono11
Scombridae,Wahoo,Acanthocybium solandri,#N/A,Pono12
Scombridae,Yellowfin tuna,Thunnus albacares,#N/A,Nguru
Scombridae,Skipjack tuna,Katsuwonus pelamis,#N/A,Jodari
Scombridae,Kawakawa,Euthynnus affinis,Primary piscivores,Sehewa 
Scombridae,Frigate tuna,Auxis thazard,#N/A,Sehewa mweupe
Scombridae,Kanadi kingfish,Scomberomorus plurilineatus,#N/A,Zanuba
Scombridae,Indian mackerel,Rastrelliger kanagurta,Primary piscivores,Nguru shebe
Scombridae,Narrow barred mackerel,Scomberomorus commerson,#N/A,Kibua/Una
Scombridae,Areolate grouper,Epinephelus areolatus,Primary Piscivores,Nguru 
Scombridae,Foursaddle grouper,Epinephelus spilotoceps,Primary Piscivores,Chewa/Tewa
Scombridae,Coral hind,Cephalopholis miniata,Primary Piscivores,Chewa2
Scombridae,Darkfin hind,Cephalopholis nigripinnis,Primary Piscivores,Chewa3
