scientific_names,swahili_names
Acanthurus nigricauda,Kangaja 1
Naso brachycentron,Puju 1
Acanthurus tennentii,Kangaja 2
Naso brevirostris,Puju 2
Acanthurus triostegus,Kurumbwi
Ctenochaetus striatus,Mbene/msendengoma
Naso elegans,Laga/Puju
Acanthurus mata,Kangaja 3
Galeichthys feliceps,Hongwe
Tylosurus acus melanotus,Mzira meno/sumbururu
Ablennes hians,Mzira meno/sumbururu
Alepes djedaba,Kolekole1
Carangoides ferdau,Kolekole2
Atule mate,Kolekole3
Carangoides orthogrammus,Kolekole4
Carangoides chrysophrys,Kolekole5
Caranx heberi,Kolekole6
Caranx ignobilis,Kolekole7
Selar crumenophthalmus,Kibua1
Seriola rivoliana,Kihalua
Chaetodon Auriga,Kibange/kitatange
Heniochus acuminatus,Kibange uzi
Chanos chanos,Mwatiko
Chirocentrus nudus,Mkonge
Chirocentrus dorab,Mkonge2
Platax teira,Tuguu
Fistularia petimba,Panda
Gerres filamentosus,Chaa
Gerres Oyena,Chaa2
Diagramma pictum,Mwewe/Komba
Plectorhinchus gaterinus,Mlea
Plectorhinchus schotaf,Changu13
Plectorhinchus vittatus,Mlea 2
Pomadasys multimaculatus,Paramamba
Pomadasys maculatus,Kiswe
Myripristis hexagona,Kifuu
Sargocentron caudimaculatum,Kifuu2
Sargocentron spiniferum,Kifuu3
Cheilio inermis,Chelema/Mboo ya mvuvi
Oxycheilinus diagramma,Dambada
Coris formosa,Potepote
Halichoeres nigrescens,Ndodozi
Bodianus bilunulatus,Ndodozi2
Chelinus trilobatus,Dambada8
Cheilinus chlorourus,Dambada2
Holygymnosus doliatus,Potepote
Choerodon robustus,Pono
Bodianus leucosticticus,Ndodozi3
Novaculichthys taeniourus,Chimbashi
Bodianus perdition,Ndodozi4
Hemigymnus fasciatus,Pono15
Epibulus insidiator,Dambada4
Halichoeres scapularis,Ndodozi mweupe
Leiognathus berbis,Kibua
Aurigequula fasciata,Kibua2
Karalla daura,Kibua3
Gymnocranius grandoculis,Changu14
Lethrinus crocineus,Changu2
Lethrinus borbonicus,Changu3
Lethrinus mahsena,Changu4
Lethrinus harak,Changu5
Lethrinus microdon,Changu Ndomo
Lethrinus obsoletus,Changu6
Monotaxis grandoculis,Bundusi
Lethrinus lentjan,Changu7
Lethrinus nebulosus,Changu8
Lethrinus olivaceus,Changu ndomo2
Lethrinus xanthochilus,Changu9
Lethrinus rubrioperculatus,Changu10
Lethrinus variegatus,Changu11
Aphareus furca,Simanyo
Lutjanus bohar,Kungu
Aprion virescens,Changu kifimbo/ Mrongo
Lutjanus ehrenbergii,tembo/janja
Etelis coruscans,Mdunji
Lutjanus fulviflamma,Tembo
Lutjanus argentimaculatus,Tembo kandaa
Lutjanus gibbus,numba
Monodactylus argenteus,Pepero
Mkizi ,Mkizi
Parupeneus forsskali,Kundaji
Parupeneus cyclostommus,Kundaji2
Parupeneus macronema,Kundaji3
Parupeneus barberinus,Kundaji4
Parupeneus rubescens,Kundaji5
Parupeneus indicus,Kundaji6
Mulloidichthys vanicolensis,Kundaji7
Upeneus tragula,Kundaji8
Parupeneus pleurostigma,Kundaji9
Parupeneus ciliatus,Kundaji10
Nemipterus bipunctatus,Koana
Nemipterus japonicus,Koana2
Scolopsis bimaculata,Paragunda
Scolopsis ghanam,Kangamacho
Scolopsis vosmeri,Kimweche
Pomacanthus semicirculatus,Bangi Kukuu
Priacanthus hamrur,Gambahare/Banihare
Priacanthus meeki,Gambahare/Banihare2
Psettodes erumei,Gayogayo
Hipposcarus harid,Pono/Chumumbu
Scarus ghobban,Pono3
Scarus rubroviolaceus,Pono mwekundu
Calotomus carolinus,Pono4
Scarus russelii,Pono5
Scarus frenatus,Pono6
Chlorurus capistratoides,Pono7
Calotomus spinidens,Bodo
Scarus chameleon,Pono9
Scarus psittacus,pono10
Scarus tricolor,pono11
Acanthocybium solandri,Pono12
Thunnus albacares,Nguru
Katsuwonus pelamis,Jodari
Euthynnus affinis,Sehewa 
Auxis thazard,Sehewa mweupe
Scomberomorus plurilineatus,Zanuba
Rastrelliger kanagurta,Nguru shebe
Scomberomorus commerson,Kibua/Una
Epinephelus areolatus,Nguru 
Epinephelus spilotoceps,Chewa/Tewa
Cephalopholis miniata,Chewa2
Cephalopholis nigripinnis,Chewa3
Epinephelus longispinis,Chewa4
Epinephelus malabaricus,Chewa5
Variola albimarginata,Chewa6
Anyperodon leucogrammicus,Chewa7
Cephalopholis cyanostigma,Chewa8
Epinephelus coioides,Chewa9
Epinephelus coeruleopunctatus,Chewa10
Siganus sutor,Tasi
Siganus argenteus,Tasi2
Siganus luridus,Tasi3
Siganus stellatus,Tasi uziwa
Siganus canaliculatus,Tasi4
Sillago sihama,Chelema weupe
Sphyraena forsteri,Toa/msusa- Chebwa
Sphyraena flavicauda,Mzira boko/ mzia
Sphyraena putnamae,Mzira/Mzia
Sphyraena obtusata,Toa/msusa
Sphyraena qenie,Mzira boko/ mzia
Trachinocephalus myops,Bumbula/Rukia
Unga,Unga
Scolopsis affinis ,Mbalamwezi
Sururu,Sururu
Kimberere,Kimberere
Twene,Twene
chamumbu,chamumbu
Fatundu,Fatundu
Cheilio inermis ,Mchaunda
Thalassoma hebraicum  ,Rerebwa 2
Coris formosa ,Rerebwa
mboko,mboko
Mbuzi mto,Mbuzi mto
Mkonge,Mkonge
Mkunga,Mkunga
Gerres subfasciatus ,Chilili
Sandaza,Sandaza
Changu kibaku,Changu kibaku
Mwavi,Mwavi
pepero,pepero
chore,chore
Gongeo,Gongeo
Vumbaba,Vumbaba
Chengo,Chengo
Vyege,Vyege
Kanga Macho,Kanga Macho
Ninga,Ninga
Nguwazi,Nguwazi
Chana la ndizi,Chana la ndizi
Kuwi,Kuwi
Ufeda,Ufeda
Mwewe kandaa,Mwewe kandaa
Hubwi,Hubwi
Ngogo,Ngogo
Tiri macho,Tiri macho
Sape,Sape
Pono bluu,Pono bluu
Chewa tumbo,Chewa tumbo
Scarus ghobban ,Pono mchele
Ndodozi biabu,Ndodozi biabu
Tiri mwekundu,Tiri mwekundu
Tiri mweusi,Tiri mweusi
Tiri mweupe,Tiri mweupe
Pono meno,Pono meno
Mkonge bung,Mkonge bung
Lutjanus bengalensis ,Tembo uzi
Tembo kibaku,Tembo kibaku
Shazo,Shazo
Mkule,Mkule
Bora,Bora
Zikimshipi,Zikimshipi
Kolekole mrondoo,Kolekole mrondoo
Lethrinus lentjan ,Changu chomi
Sandaza,Sandaza
Chana,Chana
Komba,Komba
Lutjanus gibbus,Numba
Scorpaena jacksoniensis ,Cheche
Upeneus sundaicus,Sonyo
Kundaji mweupe,Kundaji mweupe
Kundaji kidoa,Kundaji kidoa
Kundaji mwekundu,Kundaji mwekundu
Lethrinus borbonicus ,Nyamvi
Kifuu,Kifuu
Toa,Toa
Tasi mweupe,Tasi mweupe
Siganus luridus ,Tasi mweusi
Cephalopholis boenak ,Kivumbi
Paza,Paza
Abudefduf vaigiensis ,Kute
Pepero,Pepero
Mbono/kubu,Mbono/kubu
Miurana,Miurana
Mwayo,Mwayo
Nbwege,Nbwege
Kirimba,Kirimba
Hazi,Hazi
Rhinecanthus aculeatus   ,Kundaji mwamba
Kikande mweupe,Kikande mweupe
Kikande mweusi,Kikande mweusi
Leptoscarus vaigiensis,Pono manjano
Changu mweupe,Changu mweupe
Kuku bahari,Kuku bahari
Kangaja,Kangaja
Bunju,Bunju
Hypoplectrus nigricans ,Mwewe
Ubwi,Ubwi
Lutjanus campechanus ,Araki
Haraki,Haraki
Machogodi,Machogodi
Tembo mahadhi,Tembo mahadhi
Tembo bato,Tembo bato
Bamra,Bamra
Mkupi,Mkupi
Chaamji,Chaamji
Lutjanus carponotatus ,Ngagu
Amphiprion allardi ,Chichi
Bodianus bilunulatus ,Msumeno
Scarus ghobban ,Pono kifua
kifuu mweupe,kifuu mweupe
Naso brevirostris ,Kifuu mkondo
Changu dizi,Changu dizi
tungua mbeu,tungua mbeu
Cephalopholis miniata ,chewa_mwekundu
Paralichthys albigutta ,uwayo
Chechele,Chechele
Mchuanda,Mchuanda
Tembo kidoa,Tembo kidoa
Bange manjano,Bange manjano
chichi,chichi
Macolor niger ,kute_mweupe
Macolor niger ,kunguru
Dascyllus trimaculatus ,Paramawe
Chalee/cheche mbawa,Chalee/cheche mbawa
Scorpaena scrofa  ,Chale
Una,Una
Pomacanthus imperator ,Masange
helahela_ngozi,helahela_ngozi
mngare ngare,mngare ngare
Tembo uzi,Tembo uzi
Songoro,Songoro
dagaa/dagaa damu/biri biri,dagaa/dagaa damu/biri biri
Duwi,Duwi
Nyuna,Nyuna
Fumi,Fumi
Uwono,Uwono
Bang'ra mbuzi,Bang'ra mbuzi
Bang'ra,Bang'ra
Mkunga mweusi,Mkunga mweusi
Papai,Papai
Mkubu,Mkubu
Shembuu,Shembuu
Vundamwe,Vundamwe
Pono kijino,Pono kijino
Kaufikile ,Kaufikile 
Poowe,Poowe
Chlorurus genazanatus,Pono 13
Chlorurus cyanescens,Pono 14
Duchi,Duchi
Mfumashi,Mfumashi
Nyenga,Nyenga
Mchimbashi,Mchimbashi
Kinyonga,Kinyonga
Rongwe,Rongwe
Pandu ndozi,Pandu ndozi
Hemirampus far ,Kure
Morani,Morani
Paza nguru,Paza nguru
Dukazi,Dukazi
Vumba,Vumba
Pono chore,Pono chore
Mataka ya ndizi,Mataka ya ndizi
Kokwe,Kokwe
Nyimbi,Nyimbi
Mcheshe,Mcheshe
Penseli,Penseli
Saradini,Saradini
Viroho,Viroho
Upapa,Upapa
Manyama,Manyama
Panzi,Panzi
Mishe,Mishe
Pandu ngozi,Pandu ngozi
Kunde,Kunde
Kiziki mshipi,Kiziki mshipi
Kibuna,Kibuna
Kibuyu pembe,Kibuyu pembe
Bora mboga,Bora mboga
Kute,Kute
Ng'ogo,Ng'ogo
Ali achan,Ali achan
Fudu,Fudu
Msumari,Msumari
Wayo,Wayo
Chije,Chije
Muololo,Muololo
Bangara,Bangara
Mgema,Mgema
Kolekole ubwi,Kolekole ubwi
Kolekole Jogoo,Kolekole Jogoo
Kolekole mapanga,Kolekole mapanga
Kolekole mdomo,Kolekole mdomo
Priacanthus hamrur  ,Govero
Priacanthus hamrur  ,Govyero
Variola albimarginata,Govero karabai
Moshi,Moshi
Kowe,Kowe
Kuwazi,Kuwazi
Changu mchekeni,Changu mchekeni
Lethrinus lentjan,Tukuana
Coris auricularis  ,Pono sijui
Tufe,Tufe
Kima,Kima
Kuchi,Kuchi
Mwandimu,Mwandimu
Mwacheji,Mwacheji
Mamboleo,Mamboleo
Pandu,Pandu
Nyamvi,Nyamvi
Chije,Chije
Mwanasha,Mwanasha
Kidau,Kidau
Mwakumaka,Mwakumaka
Lethrinus lentjan,Tukuwana
Sonyo,Sonyo
Zoroto,Zoroto
Mwajame,Mwajame
Mshe,Mshe
Songwa,Songwa
Goromwe,Goromwe
Numbi,Numbi
Janjua,Janjua
Kumbi,Kumbi
Sororo,Sororo
Mchone,Mchone
Sururu,Sururu
Kangu,Kangu
Fukudi,Fukudi
Chale,Chale
Popotoe/Baero,Popotoe/Baero
Shana,Shana
Kitongoo,Kitongoo
Gololi,Gololi
Tindija,Tindija
Changu mwamba,Changu mwamba
Tatau,Tatau
Koe,Koe
Ruguu,Ruguu
Kinywa Uchi,Kinywa Uchi
Kambisi,Kambisi
Ngurangura,Ngurangura
Hoplias malabaricus  ,Tiri
Cephalopholis argus  ,Chewa mweusi
