village,fishing_ground,x,y
Kizingani,Wamba,,
Makoongwe,Chekwe,,
Kisiwa Panza,Muinzi,,
Kisiwani,Fungu,,
Kwale,Dongoni,,
Stahabu,Mapuku,,
Mtambwe Kusini,Mahujuu,,
Michenzani,Mapuku,,
Shidi,Kwata,,
Michungwani,Mkumbuu,,
Michenzani,Kwata,,
Makoongwe,Kwata,,
Kangani,Chekwe,,
Michenzani,Nyuma ya fungu,,
Makoongwe,Ukai,,
Makoongwe,Umandeni,,
Makoongwe,Vijiwe vitatu,,
Makoongwe,Siau,,
Makoongwe,Misali,,
Michenzani,Jiwe membe,,
Makoongwe,Matumbini,,
Makoongwe,Boyani,,
Makoongwe,Mvuleni,,
Michenzani,Fungu dagaa,,
Michungwani,Dongoni,,
Michungwani,Pembe,,
Michungwani,Chaani,,
Michungwani,Nguwi,,
Kangani,Baharini,,
Michungwani,Ugongo mrefu,,
Michungwani,Pononi,,
Michenzani,Vijiwe vitatu,,
Michenzani,Kizambarauni,,
Kangani,Mnarani,,
Michungwani,Pandwe,,
Michungwani,Mapanya,,
Michungwani,Kijambani,,
Michungwani,Kiuli,,
Michungwani,Funzi,,
Kisiwani,Dongoni,,
Kisiwani,Mkumbuu,,
Kisiwani,Misali,,
Kisiwani,Pandwe,,
Kisiwani,Funzi,,
Kwale,Funzi,,
Kwale,Ndagoni,,
Kwale,Mgongo,,
Kwale,Mwangwi,,
Kwale,Pembe,,
Kwale,Makochoo,,
Kwale,Mkumbuu,,
Kwale,Javini,,
Michenzani,Kwasharifu,,
Michenzani,Kipwa kidogo,,
Kangani,Matumbini,,
Kisiwani,Baharini,,
Mtambwe Kusini,Funzi,,
Kisiwani,Muwangwi,,
Kwale,Jiwemtu,,
Kisiwani,Jamvini,,
Mtundani,Chamba cha mkumbi,,
Chongoleani,Dutani,,
Ndaoya,Nyuli,,
Mtambwe Kusini,Kiwandani,,
Kwale Tanga,Mwambani,,
Kwale Tanga,Wamba,,
Kizingani,Mwamba nyama,,
Chongoleani,Kimio,,
Chongoleani,Magomeni,,
Chongoleani,Ulenge,,
Chongoleani,Marombo,39.16029989,-5.022686256
Michenzani,Nyuma ya fungu,,
Putini,Jutoni,,
Michenzani,Jiwe memba,,
Kisiwa Panza,Geandiba,,
Chongoleani,Kikaango,,
Chongoleani,Mwamba nyama,,
Chongoleani,Nyuli,,
Chongoleani,Taa,,
Chongoleani,Kipwani,,
Kisiwa Panza,Kondoni,,
Kisiwa Panza,Jombe,,
Kisiwa Panza,Kwamwadin,,
Kisiwa Panza,Mlangoni,,
Kisiwa Panza,Mzingani,,
Kisiwa Panza,Kifimbo,,
Kisiwa Panza,Ngazi,,
Makoongwe,Ukutani,,
Michenzani,Kipwa kome,,
Michenzani,Kipwani,,
Michenzani,Iizambarauni,,
Michenzani,Matumbini,,
Michenzani,Jiwe mambe,,
Michenzani,Jiwe nembe,,
Michenzani,Jiwe membo,,
Michenzani,Chachani,,
Putini,Nyuli,,
Putini,Jambe,,
Putini,Jembe,,
Putini,Ufuma,,
Kisiwani,Mahujuu,,
Kisiwani,Pembe,,
Mtambwe Kusini,Uvinje,,
Mtambwe Kusini,Mapanya,,
Mabokweni,Maweni,,
Mabokweni,Mchanganyiko wa maengo,,
Mabokweni,Kitopeni,,
Mabokweni,Zigi,,
Mtambwe Kusini,Kwasharifu,,
Mtambwe Kusini,Pembe,,
Mtambwe Kusini,Mwamba,,
Mtambwe Kusini,Kokota,,
Ziwani,Rasini,,
Kisiwani,Jambani,,
Kisiwani,Mdomoni,,
Kisiwani,Rasini,,
Tumbe,Kisiwani,,
Shumba,Uziwani,,
Kiuyu,Shangaa,,
Shumba,Jambani,,
Kiuyu,Imu,,
Kiuyu,Kongoo,,
Kiuyu,Majimbuni,,
Kiuyu,Pwakuu,,
Kiuyu,Kekechu,,
Kiuyu,Jambani,,
Kiuyu,Mdomoni,,
Kiuyu,Kijiweni,,
Kiuyu,Kongoo mchele,,
Michenzani,Kijiwe mtama,,
Michenzani,Machaleni,,
Michenzani,Kwamwana maua,,
Michenzani,Kijiqe mtama,,
Michungwani,Lengwe,,
Stahabu,Shika shika,,
Stahabu,Fungu Ndogo,,
Stahabu,Kwata,,
Stahabu,Funguni,,
