ObjectID,GlobalID,Datacollector,Tarehe,Chagua Mkoa,Jina la BMU/SFC/Mtaa,Jina la eneo/mwamba,Makaazi gani,Andika makaazi Mengine,Rasilimali zinazopatikana hapa,Andika rasilimali nyingine,Zana zinazotumika,Andika zana nyingine,Jinsia inayovua/kutumia hapa,Vijiji vingine vinavyotumia eneo hili,Kijiji kingine,Kijiji kingine,Kijiji kingine,Maelezo ya ziada,CreationDate,Creator,EditDate,Editor,Ni rasilimali zipi ni kuu au zinatawala zaidi katika eneo hili la uvuvi?,Andika rasilimali kuu nyingine,x,y
58,e2bdcad2-e2fa-488d-bcd2-4b0277d925f0,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,puuni,"Majani_bahari,Matumbawe/miamba,Mikoko",,"Bodo,Chaa,Chandaza,Changubawe,Fumi,Jongoo_bahari,Janja,Mleya,Mzia,Matumbawe,Majani_bahari,Majongoo,Magaogao,Nungu,Puju,Pweza,Taa,Tasi,Tiri,Tuguu,Zumari,Upanga,other",Nyokozi,"Mshipi,Nyavu,Madema,Mchokoo",,"Male,Female",other3,,,"Uzi,pete,unguja ukuu ,kitogani",,5/13/2024 2:00:40 PM,RamadhaniSaidi2,5/13/2024 2:00:40 PM,RamadhaniSaidi2,,,39.4111603684723,-6.31084285676479
59,1ff18d18-2319-45a1-a53a-eab2ce47337e,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,kiboga,"Majani_bahari,Matumbawe/miamba,Mikoko",,"other,Chandaza,Mwatiko,Mkizi,Bodo,Kaa,Kamba,Kowe,Pweza,Tasi,Tiri,Tuguu","Firo,shengwa,fundwi,mbweta","Mshipi,Madema,Nyavu,Mchokoo",,"Male,Female",other3,,,"Pete,kitogani",,5/13/2024 2:00:44 PM,RamadhaniSaidi2,5/13/2024 2:00:44 PM,RamadhaniSaidi2,,,39.4163860660046,-6.30677348468453
60,e43e3aa0-3d9a-4473-a180-a3757cb4597d,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,kiokoni,"Majani_bahari,Matumbawe/miamba",,"Tasi,Mleya,Matumbawe,Kowe,Chandaza,other,Changubawe,Chaa,Janja,Mzia,Chota","Mashengwa,tatange,ngarara,kibamba","Mshipi,Mchokoo,Nyavu,Madema",,"Male,Female",other3,,,Pete kitogani,,5/13/2024 2:01:00 PM,RamadhaniSaidi2,5/13/2024 2:01:00 PM,RamadhaniSaidi2,,,39.4176568463445,-6.30484028253704
61,dd754461-bb92-4a6f-8d10-ddc69180bc7a,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,kongwa mbili,"Majani_bahari,Matumbawe/miamba,Mikoko",,"Chandaza,Kowe,Tasi,Janja,Kamba,Majeta,other,Pweza,Parapanda,Taa","Finzi,kobamba,chewa","Madema,Mchokoo,Nyavu,Mshipi",,"Male,Female",other3,,,"Kitogani,pete",,5/13/2024 2:01:03 PM,RamadhaniSaidi2,5/13/2024 2:01:03 PM,RamadhaniSaidi2,,,39.4194981828332,-6.3028300087899
62,b68e2168-e1be-4daa-9baf-570d9bbbf2fa,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,kilindi,"Majani_bahari,Matumbawe/miamba",,"Tasi,Mkizi,Kamba,other,Kowe,Chandaza,Mzia,Chota,Janja,Majani_bahari,Matumbawe,Mikoko","Suka,pono","Mshipi,Nyavu,Madema,Mchokoo",,Male,other3,,,"Pete,kitogani",,5/13/2024 2:01:08 PM,RamadhaniSaidi2,5/13/2024 2:01:08 PM,RamadhaniSaidi2,,,39.4244842417538,-6.29973612260073
63,1fcec33c-9766-4ff3-84fa-6815c4951f87,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,mangisani,"Majani_bahari,Matumbawe/miamba",,"Janja,Chaa,Chandaza,Changubawe,Tiri,Pweza,Mikoko,Matumbawe,Majani_bahari,Magaogao,other","Suka,kibamba","Mshipi,Nyavu,Madema,Mchokoo",,Male,other3,,,"Pete,kitogan",,5/13/2024 2:01:16 PM,RamadhaniSaidi2,5/13/2024 2:01:16 PM,RamadhaniSaidi2,,,39.4251568056643,-6.29905031528324
64,6366cb72-173b-4255-926f-644993bf36f4,MwanamvuaMwalim,5/9/2024 9:00:00 AM,Unguja,Muungoni,kipenyapenya,"Majani_bahari,Matumbawe/miamba,Pachi",,"Kamba,Kaa,Jongoo_bahari,Janja,Chandaza,Mkizi,Mzia,Mikoko,Matumbawe,Majani_bahari,Magaogao,other,Tasi,Taa,Tuguu,Tiri","Ginge,kibamba,","Madema,Mshipi,Nyavu,Mchokoo",,Male,other3,,,"Pete,kitogani",,5/13/2024 2:01:21 PM,RamadhaniSaidi2,5/13/2024 2:01:21 PM,RamadhaniSaidi2,,,39.4271765090525,-6.29536068532616
80,5f90c33a-2afe-4fb4-878d-e95ba8c1acd9,OmarIsmaily,5/19/2024 9:00:00 AM,Tanga,Boma_subutuni,Kimio,Mikoko,,Birds,,Vijiti,,"Male,Female",Msaraza,,,,,5/19/2024 11:23:11 AM,OmarIsmaily,5/19/2024 11:23:11 AM,OmarIsmaily,,,39.0895233333333,-5.07232
81,39252dbd-7eed-4b26-99df-42823ed3a09a,OmarIsmaily,5/19/2024 9:00:00 AM,Tanga,Boma_Kichakamiba,Kijunguni,Matumbawe/miamba,,Matumbawe/miamba,,Mshipi,,"Male,Female",Kwale_Tanga,,,,Mafunzo,5/19/2024 11:23:12 AM,OmarIsmaily,5/19/2024 11:23:12 AM,OmarIsmaily,,,39.0895233333333,-5.07232
82,932293a5-7320-49e3-837a-057ff25af935,OmarIsmaily,5/19/2024 9:00:00 AM,Tanga,Boma_subutuni,Kisiwa jambe,Mkondoni,,Matumbawe/miamba,,Utupa,,"Male,Female",Mpirani,,,,Mafunzo,5/19/2024 11:23:13 AM,OmarIsmaily,5/19/2024 11:23:13 AM,OmarIsmaily,,,39.0895233333333,-5.07232
