FID,fid_1,id,Name,Baseline,Annual_BMU,Capacity,MCS,Resource,Fish,Value,By_Laws,Key_fishry,Other_Ctch,Temporary,Long__Term,In_water,Participat,Marine_Res,Collaborat,ECO,Active_Man,Gear_modi,Co_MGT,FAO_SSF,Active_Ree,layer,path,Longitude,Latitude,Status,x,y
1,1,1,Mtende, , , , , , , , , , , , , , , , , , , , , , ,Blue Ventures,C:/Users/user1/Documents/mwambao/Donors Map 2021/Blue Ventures.shp,39.5367016901,-6.45904540463,,39.536701690031,-6.45904540502136
2,2,2,Mzuritasani, , , , , , , , , , , , , , , , , , , , , , ,Blue Ventures,C:/Users/user1/Documents/mwambao/Donors Map 2021/Blue Ventures.shp,39.5625167223,-6.43563816975,,39.5625167221691,-6.43563817006544
3,6,6,Kiwengwa, , , , , , , , , , , , , , , , , , , , , , ,Blue Ventures,C:/Users/user1/Documents/mwambao/Donors Map 2021/Blue Ventures.shp,39.3786145731,-5.98630116069,,39.3786145728043,-5.98630116106965
4,7,7,Pongwe, , , , , , , , , , , , , , , , , , , , , , ,Blue Ventures,C:/Users/user1/Documents/mwambao/Donors Map 2021/Blue Ventures.shp,39.4108648956,-6.04670819793,,39.4108648953987,-6.04670819752529
5,9,9,Muyuni, , , , , , , , , , , , , , , , , , , , , , ,Blue Ventures,C:/Users/user1/Documents/mwambao/Donors Map 2021/Blue Ventures.shp,39.4351356728,-6.37667442108,,39.4351356728731,-6.37667442138742
6,15, ,Shidi, , , , , , , , , , , , , , , , , , , , , , ,CORDIO,C:/Users/user1/Documents/mwambao/Donors Map 2021/CORDIO.shp,39.6530102092,-5.38829024333,,39.653010208954,-5.38829024320011
7,16, ,Michenzani, , , , , , , , , , , , , , , , , , , , , , ,CORDIO,C:/Users/user1/Documents/mwambao/Donors Map 2021/CORDIO.shp,39.6511640978,-5.39973796214,,39.651164097745,-5.39973796173751
8,17, ,Stahabu, , , , , , , , , , , , , , , , , , , , , , ,CORDIO,C:/Users/user1/Documents/mwambao/Donors Map 2021/CORDIO.shp,39.648948764,-5.41270828135,,39.6489487635747,-5.4127082810623
9,18, ,Makoongwe, , , , , , , , , , , , , , , , , , , , , , ,CORDIO,C:/Users/user1/Documents/mwambao/Donors Map 2021/CORDIO.shp,39.6260309908,-5.37563404015,,39.6260309909375,-5.37563403997893
10,19,1,Bwejuu, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.5361247267,-6.23723931814,,39.5361247263751,-6.23723931804005
11,20,2,Michamvi, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.5010194306,-6.13157646197,,39.5010194304024,-6.13157646178422
12,21,3,Ukongoroni, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.4827606309,-6.19546961352,,39.4827606306986,-6.19546961313211
13,22,5,Charawe, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.4479808714,-6.1858998337,,39.4479808713202,-6.18589983371033
14,23,6,Chwaka, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.4393210625,-6.16424494825,,39.4393210628169,-6.16424494844556
15,24,7,Marumbi, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.426533353,-6.13073052518,,39.4265333526322,-6.13073052529348
16,25,9,Uroa, , , , , , , , , , , , , , , , , , , , , , ,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.4270251879,-6.0977379811,,39.4270251882619,-6.09773798142265
17,27,66,Gando,Completed,Completed,Completed,Completed,Completed,Not done,Not done, ,Not done,Not done,Not done,Not done,Not done,Not done,Not done,Completed,Not done, ,Not done, ,Not done,Not done,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.6806128862,-4.98695632436,,39.6806128864756,-4.9869563245747
18,28,33,Ukunjwi,Completed,Completed,Completed,Completed,Completed,Not done,Not done, ,Not done,Not done,Not done,Not done,Not done,Not done,Not done,Completed,Not done, ,Not done, ,Not done,Not done,EU Ecofish,C:/Users/user1/Documents/mwambao/Donors Map 2021/EU Ecofish.shp,39.6866651036,-5.04250675173,,39.6866651035118,-5.04250675128549
