"","cmg","fishing_ground","aina_ya_usimamizi","family_counts"
"1","KUKACHOKI","Baharini","Hamna",4
"2","KUKACHOKI","Chekwe","Hamna",19
"3","KUKACHOKI","Jombe","Uwezekano wa kufungia",7
"4","KUKACHOKI","Muinzi","Uwezekano wa kufungia",19
"5","MCHOMAPUNDA","Mwagisi","Hamna",5
"6","MCHOMAPUNDA","Nganyawani","Uwezekano wa kufungia",3
"7","MCHOMAPUNDA","Taa","Uwezekano wa kufungia",16
"8","MKIZIKWANI","Funzi","Ufungiaji",20
"9","MKIZIKWANI","Kokota","Hamna",20
"10","STAMISHIMA","Kwamwana maua","Ufungiaji",3
"11","STAMISHIMA","Kwata","Hamna",21
"12","STAMISHIMA","Makoongwe","Ufungiaji",8
"13","TAWALANI_KIZINGANI","Mawe mawili","Uwezekano wa kufungia",20
"14","TAWALANI_KIZINGANI","Milangoni","Uwezekano wa kufungia",15
"15","TAWALANI_KIZINGANI","Mkumbi","Hamna",17
"16","TAWALANI_KIZINGANI","Wamba","Hamna",25
"17","TAWALANI_KIZINGANI","Wandaule","Uwezekano wa kufungia",6
