region,village,month,year,record_counts
Pemba,Chokocho,Jan,2025,12
Pemba,Chokocho,Feb,2025,12
Pemba,Chokocho,Mar,2025,12
Pemba,Chokocho,Apr,2025,12
Pemba,Chokocho,May,2025,12
Pemba,Chokocho,Jun,2025,12
Pemba,Chokocho,Jul,2025,12
Pemba,Chokocho,Aug,2025,13
Pemba,Chokocho,Sep,2024,12
Pemba,Chokocho,Sep,2025,12
Pemba,Chokocho,Oct,2024,13
Pemba,Chokocho,Nov,2024,12
Pemba,Chokocho,Dec,2024,12
Pemba,Kangani,Jan,2025,13
Pemba,Kangani,Feb,2025,12
Pemba,Kangani,Mar,2025,10
Pemba,Kangani,Apr,2025,6
Pemba,Kangani,May,2025,7
Pemba,Kangani,Jun,2025,12
Pemba,Kangani,Jul,2025,9
Pemba,Kangani,Aug,2025,14
Pemba,Kangani,Sep,2024,7
Pemba,Kangani,Sep,2025,8
Pemba,Kangani,Oct,2024,1
Pemba,Kangani,Oct,2025,3
Pemba,Kangani,Nov,2024,6
Pemba,Kangani,Dec,2024,12
Pemba,Kisiwa Panza,Jan,2025,19
Pemba,Kisiwa Panza,Feb,2025,19
Pemba,Kisiwa Panza,Mar,2025,17
Pemba,Kisiwa Panza,Apr,2025,18
Pemba,Kisiwa Panza,May,2025,20
Pemba,Kisiwa Panza,Jun,2025,18
Pemba,Kisiwa Panza,Jul,2025,20
Pemba,Kisiwa Panza,Aug,2025,15
Pemba,Kisiwa Panza,Sep,2024,15
Pemba,Kisiwa Panza,Sep,2025,12
Pemba,Kisiwa Panza,Oct,2024,16
Pemba,Kisiwa Panza,Nov,2024,16
Pemba,Kisiwa Panza,Dec,2024,18
Pemba,Kisiwani,Jan,2025,12
Pemba,Kisiwani,Feb,2025,11
Pemba,Kisiwani,Mar,2025,12
Pemba,Kisiwani,Apr,2025,12
Pemba,Kisiwani,May,2025,12
Pemba,Kisiwani,Jun,2025,12
Pemba,Kisiwani,Jul,2025,12
Pemba,Kisiwani,Aug,2025,12
Pemba,Kisiwani,Sep,2024,9
Pemba,Kisiwani,Sep,2025,1
Pemba,Kisiwani,Oct,2024,14
Pemba,Kisiwani,Nov,2024,13
Pemba,Kisiwani,Dec,2024,13
Pemba,Kiuyu,Jan,2025,12
Pemba,Kiuyu,Feb,2025,10
Pemba,Kiuyu,Mar,2025,12
Pemba,Kiuyu,Apr,2025,11
Pemba,Kiuyu,May,2025,12
Pemba,Kiuyu,Jun,2025,12
Pemba,Kiuyu,Jul,2025,12
Pemba,Kiuyu,Aug,2025,12
Pemba,Kiuyu,Oct,2024,12
Pemba,Kiuyu,Nov,2024,12
Pemba,Kiuyu,Dec,2024,12
Pemba,Kukuu,Jan,2025,12
Pemba,Kukuu,Feb,2025,12
Pemba,Kukuu,Mar,2025,12
Pemba,Kukuu,Apr,2025,12
Pemba,Kukuu,May,2025,12
Pemba,Kukuu,Jun,2025,12
Pemba,Kukuu,Jul,2025,12
Pemba,Kukuu,Aug,2025,12
Pemba,Kukuu,Sep,2024,12
Pemba,Kukuu,Sep,2025,12
Pemba,Kukuu,Oct,2024,11
Pemba,Kukuu,Nov,2024,12
Pemba,Kukuu,Dec,2024,12
Pemba,Kwale,Jan,2025,11
Pemba,Kwale,Feb,2025,12
Pemba,Kwale,Mar,2025,12
Pemba,Kwale,Apr,2025,13
Pemba,Kwale,May,2025,13
Pemba,Kwale,Jun,2025,13
Pemba,Kwale,Jul,2025,12
Pemba,Kwale,Aug,2025,12
Pemba,Kwale,Sep,2024,9
Pemba,Kwale,Oct,2024,6
Pemba,Makoongwe,Jan,2025,12
Pemba,Makoongwe,Feb,2025,11
Pemba,Makoongwe,Mar,2025,12
Pemba,Makoongwe,Apr,2025,12
Pemba,Makoongwe,May,2025,9
Pemba,Makoongwe,Jun,2025,12
Pemba,Makoongwe,Jul,2025,12
