village,year,month,mean_cpue
Kiuyu,2024,Oct,240.01988490254845
Kiuyu,2024,Nov,280.4459090909091
Kiuyu,2024,Dec,354.8285793986376
Kiuyu,2025,Jan,621.8192790192791
Kiuyu,2025,Feb,557.0329657797399
Kiuyu,2025,Mar,469.9954175936109
Kiuyu,2025,Apr,583.3895485682965
Kiuyu,2025,May,653.2492912607428
Kiuyu,2025,Jun,453.4402544937422
Kiuyu,2025,Jul,401.2982644933132
Kiuyu,2025,Aug,384.81360013757325
Shumba,2024,Nov,7.743055555555555
Shumba,2024,Dec,282.7336981497111
Shumba,2025,Jan,265.8571960207736
Shumba,2025,Feb,293.80662984477857
Shumba,2025,Mar,304.3299691030814
Shumba,2025,Apr,346.3008598128825
Shumba,2025,May,334.14773017992354
Shumba,2025,Jun,446.88216503415396
Shumba,2025,Jul,359.46723193108664
Shumba,2025,Aug,377.2131427430203
Tumbe,2024,Oct,529
Tumbe,2024,Nov,645.8283783783784
Tumbe,2024,Dec,911.984309286981
Tumbe,2025,Jan,1125.0051232804753
Tumbe,2025,Feb,1174.5309424603174
Tumbe,2025,Mar,1283.974121557455
Tumbe,2025,Apr,1149.2997894586256
Tumbe,2025,May,1264.3513435003633
Tumbe,2025,Jun,1162.8152550091074
Tumbe,2025,Jul,1222.0691879926574
Tumbe,2025,Aug,1315.5769175455416
